Image Resize,Epochs,Train Accuracy,Test Accuracy,Dataset use,Model type,Bach size,Learning rate,Timestamp,Duration,Batch size,Validation accuracy
64*64,4,98.1675392670157,65.0,Train,resnet18,,,,,,
64*64,16,99.47643979057592,62.5,Train,resnet18,,,,,,
224*224,16,100.0,84.16666666666667,Train,resnet18,,,,,,
224*224,16,100.0,79.16666666666667,Train,resnet18,,,,,,
224*224,16,100.0,77.5,Train,resnet18,,,,,,
224*224,9,100.0,80.83333333333333,Train,resnet18,,,,,,
224*224,9,99.47643979057592,80.0,Train,resnet18,,,,,,
224*224,16,100.0,82.5,Train,resnet18,,,,,,
224*224,16,98.1675392670157,80.0,Train,resnet18,,,,,,
224*224,10,100.0,80.0,Train,resnet18,,,,,,
224*224,10,86.38743455497382,65.83333333333333,Train,resnet18,,,,,,
224*224,4,41.8848167539267,57.49999999999999,,Team model,16.0,0.001,,,,
224*224,16,56.54,61.67,,Team model,,0.001,2023-06-08 14:09:17,00:01:03,8.0,61.67
224*224,16,57.85,59.17,,Team model,,0.001,2023-06-08 14:25:36,00:01:00,8.0,59.17
224*224,16,58.38,64.17,,Team model,,0.001,2023-06-08 14:34:37,00:01:01,8.0,64.17
224*224,16,58.64,60.83,,Team model,,0.001,2023-06-08 14:37:47,00:01:03,8.0,60.83
224*224,16,55.76,61.67,,Team model,,0.001,2023-06-08 14:48:16,00:01:01,8.0,61.67
224*224,16,55.24,53.33,,Team model,,0.001,2023-06-08 14:50:47,00:01:00,8.0,53.33
224*224,16,62.04,58.33,,Team model,,0.001,2023-06-08 14:53:45,00:01:00,8.0,58.33
